NAME                INSTALLED                FIXED IN                 TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libfreetype6        2.12.1+dfsg-5            2.12.1+dfsg-5+deb12u4    deb   CVE-2025-27363    High        27.6% (97th)   81.9   (kev)  
nginx               1.25.5-1~bookworm                                 deb   CVE-2023-44487    High        100.0% (99th)  78.8   (kev)  
libsystemd0         252.22-1~deb12u1         252.23-1~deb12u1         deb   CVE-2023-50387    High        100.0% (99th)  75.0          
libudev1            252.22-1~deb12u1         252.23-1~deb12u1         deb   CVE-2023-50387    High        100.0% (99th)  75.0          
libsystemd0         252.22-1~deb12u1         252.23-1~deb12u1         deb   CVE-2023-50868    High        81.7% (99th)   61.3          
libudev1            252.22-1~deb12u1         252.23-1~deb12u1         deb   CVE-2023-50868    High        81.7% (99th)   61.3          
libssl3             3.0.11-1~deb12u2         3.0.14-1~deb12u2         deb   CVE-2024-6119     High        66.6% (99th)   49.9          
openssl             3.0.11-1~deb12u2         3.0.14-1~deb12u2         deb   CVE-2024-6119     High        66.6% (99th)   49.9          
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-15467    Critical    47.6% (98th)   44.8          
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-15467    Critical    47.6% (98th)   44.8          
libnghttp2-14       1.52.0-1+deb12u1         1.52.0-1+deb12u2         deb   CVE-2024-28182    Medium      85.0% (99th)   43.8          
libssl3             3.0.11-1~deb12u2         3.0.14-1~deb12u1         deb   CVE-2024-2511     Medium      54.0% (98th)   29.4          
openssl             3.0.11-1~deb12u2         3.0.14-1~deb12u1         deb   CVE-2024-2511     Medium      54.0% (98th)   29.4          
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u6        deb   CVE-2024-2398     High        36.1% (98th)   29.0          
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u6        deb   CVE-2024-2398     High        36.1% (98th)   29.0          
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u7        deb   CVE-2024-7264     Medium      17.3% (96th)   9.9           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u7        deb   CVE-2024-7264     Medium      17.3% (96th)   9.9           
libssl3             3.0.11-1~deb12u2         3.0.15-1~deb12u1         deb   CVE-2024-5535     Critical    5.6% (92nd)    5.1           
openssl             3.0.11-1~deb12u2         3.0.15-1~deb12u1         deb   CVE-2024-5535     Critical    5.6% (92nd)    5.1           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-45447    High        5.2% (91st)    4.1           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-45447    High        5.2% (91st)    4.1           
libgnutls30         3.7.9-2+deb12u2                                   deb   CVE-2011-3389     Negligible  73.3% (99th)   3.7           
